town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Abrera,4966,1647,181,561,413,982,412,381,167
Aguilar de Segarra,170,6,2,5,2,28,2,66,38
Alella,4531,737,206,313,279,966,200,1234,265
Alpens,178,6,0,1,0,45,7,82,19
"Ametlla del Vallès, l'",3912,497,107,278,156,893,192,1247,238
Arenys de Mar,6426,946,208,344,218,1421,317,2056,510
Arenys de Munt,3925,413,68,171,85,1088,149,1300,404
Argençola,117,5,2,7,0,25,6,39,22
Argentona,5474,863,181,367,251,1232,311,1482,426
Artés,2478,291,28,114,84,642,82,775,305
Avià,1118,66,7,12,7,324,27,416,152
Avinyó,1078,83,13,18,14,297,26,426,117
Avinyonet del Penedès,815,92,9,36,28,191,36,331,49
Aiguafreda,1230,141,23,47,27,347,51,393,115
Badalona,71072,21150,4016,6836,4678,13223,5640,8420,3839
Bagà,1125,183,16,30,35,300,31,358,110
Balenyà,1533,207,15,74,37,393,51,513,152
Balsareny,1385,234,21,100,49,351,63,371,114
Barcelona,627992,146370,32897,44393,38688,118491,57078,111021,42977
Begues,3400,621,96,221,181,858,232,732,237
Bellprat,41,3,0,2,0,10,0,17,4
Berga,6464,682,78,168,105,1524,184,2470,777
Bigues i Riells,3655,624,101,259,207,1019,212,777,259
Borredà,232,25,3,5,3,72,5,85,23
"Bruc, el",884,135,15,53,28,222,60,107,95
"Brull, el",152,4,2,7,2,33,2,72,19
"Cabanyes, les",497,65,10,26,11,109,19,161,52
Cabrera d'Anoia,522,122,23,62,34,133,40,60,21
Cabrera de Mar,2446,346,94,113,151,514,105,694,170
Cabrils,3360,439,126,179,159,771,146,1077,192
Calaf,1359,225,19,42,43,295,53,479,78
Caldes d'Estrac,1276,230,42,64,51,303,86,342,59
Caldes de Montbui,7433,1375,184,450,294,1838,414,1747,678
Calders,557,33,8,15,7,157,8,203,77
Calella,6974,1205,202,490,304,1662,367,1806,455
Calonge de Segarra,120,9,0,1,2,31,1,45,9
Calldetenes,1295,61,8,31,19,307,23,611,151
Callús,927,101,11,40,14,287,38,275,76
Campins,290,32,2,6,3,66,24,96,41
Canet de Mar,5901,975,163,389,209,1471,338,1541,476
Canovelles,4837,1752,189,633,385,698,313,518,121
Cànoves i Samalús,1293,272,57,113,61,314,89,233,84
Canyelles,1706,404,43,165,139,363,108,266,76
Capellades,2116,400,53,99,91,516,100,410,287
Capolat,41,0,0,0,0,7,1,22,9
Cardedeu,8052,1317,155,356,310,1915,593,2001,911
Cardona,1912,399,61,86,62,553,57,397,148
Carme,376,36,4,7,9,116,9,130,31
Casserres,773,43,13,14,5,206,15,297,110
Castellar del Riu,98,2,0,1,2,20,0,49,10
Castellar del Vallès,10459,2239,258,700,500,2550,679,2261,666
Castellar de n'Hug,101,7,0,2,0,21,2,47,1
Castellbell i el Vilar,1364,271,24,130,36,363,64,296,76
Castellbisbal,5010,1195,138,478,347,1096,386,779,327
Castellcir,340,20,0,17,6,112,17,85,53
Castelldefels,22404,6393,1661,2472,2099,3861,1665,2275,707
Castell de l'Areny,45,1,1,0,0,9,4,18,6
Castellet i la Gornal,924,205,13,75,41,239,66,160,63
Castellfollit del Boix,222,12,3,1,4,54,5,79,43
Castellfollit de Riubregós,106,10,4,2,1,14,3,47,11
Castellgalí,824,190,28,77,31,186,55,156,41
