town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Agullana,393,32,2,17,14,107,16,104,56
Aiguaviva,446,32,6,20,14,93,12,200,49
Albanyà,77,0,0,0,2,17,4,36,16
Albons,376,35,6,3,8,91,16,137,61
"Far d'Empordà, el",277,30,2,10,6,91,8,81,12
Alp,735,78,14,24,23,168,21,231,97
Amer,1143,64,8,11,12,183,23,673,107
Anglès,1997,170,20,57,29,386,50,960,212
Arbúcies,2442,170,24,56,41,576,96,1014,320
Argelaguer,210,4,0,0,2,33,14,98,43
"Armentera, l'",481,41,7,8,5,130,10,194,47
Avinyonet de Puigventós,687,86,12,65,28,165,32,200,29
Begur,1612,326,49,105,64,338,71,463,88
"Vajol, la",40,5,0,1,0,11,2,19,0
Banyoles,7984,654,97,167,125,1914,271,3200,964
Bàscara,474,41,3,16,4,114,18,185,56
Bellcaire d'Empordà,345,34,2,9,5,82,12,124,57
Besalú,1174,105,10,17,15,283,29,505,93
Bescanó,2375,174,20,70,31,521,60,1096,267
Beuda,79,8,0,2,1,11,6,23,16
"Bisbal d'Empordà, la",3948,547,56,117,49,1018,170,1209,537
Blanes,13313,3500,349,1171,806,2670,1153,2243,583
Bolvir,237,24,12,25,7,27,5,75,12
Bordils,841,53,10,22,8,160,19,348,167
Borrassà,380,30,7,19,2,76,2,189,30
Breda,1735,180,28,34,25,541,41,560,219
Brunyola i Sant Martí Sapresa,185,5,3,2,1,45,5,83,22
Boadella i les Escaules,137,15,2,17,2,34,4,38,17
Cabanes,363,45,8,39,8,67,8,126,34
Cabanelles,77,6,1,6,0,22,0,26,13
Cadaqués,931,122,6,30,23,221,58,342,67
Caldes de Malavella,2826,400,60,176,96,667,164,871,225
Calonge i Sant Antoni,3797,632,79,269,135,840,156,1213,249
Camós,403,24,5,11,6,121,9,156,38
Campdevànol,1487,192,14,49,19,390,65,477,147
Campelles,74,1,0,1,3,14,2,35,6
Campllong,281,10,5,12,3,58,6,119,33
Camprodon,1113,145,18,35,13,197,37,442,71
Canet d'Adri,371,26,4,4,9,65,15,156,60
Cantallops,130,14,5,1,4,54,4,24,11
Capmany,265,24,4,13,10,62,15,99,17
Queralbs,126,12,2,4,1,28,2,54,13
Cassà de la Selva,4145,459,54,130,71,1005,109,1648,390
Castellfollit de la Roca,423,25,6,9,1,153,11,142,48
Castelló d'Empúries,2433,347,90,287,149,473,87,617,195
Castell-Platja d'Aro,3380,744,116,312,195,586,116,929,109
Celrà,2059,248,15,60,53,362,73,577,559
Cervià de Ter,503,26,6,5,2,110,19,219,77
Cistella,149,14,2,6,1,28,1,51,23
Siurana,97,2,3,4,1,29,3,35,11
Colera,220,31,2,17,7,48,8,74,23
Colomers,121,11,0,1,0,35,8,47,13
Cornellà del Terri,1150,74,23,25,12,237,28,529,132
Corçà,692,79,3,11,12,185,12,241,88
Crespià,124,5,3,0,3,20,12,54,21
Darnius,245,23,10,26,8,59,11,77,21
Das,121,8,2,4,5,33,1,48,5
"Escala, l'",3123,445,77,227,86,665,142,987,286
Espinelves,153,5,2,0,1,51,1,60,26
Espolla,234,40,3,10,1,59,9,61,28
Esponellà,231,6,0,2,0,53,8,107,38
Figueres,12054,2161,403,1439,565,2385,488,2775,704
Flaçà,482,40,4,12,9,103,12,186,80
Foixà,178,24,0,3,5,28,8,81,14
Fontanals de Cerdanya,264,29,9,23,12,39,7,98,19
Fontanilles,86,4,1,0,0,13,1,56,4
Fontcoberta,825,47,6,17,7,246,19,336,77
Fornells de la Selva,1466,133,39,46,30,269,35,627,150
Fortià,357,49,8,23,10,83,13,95,40
Garrigàs,224,10,2,16,8,54,0,70,24
Garrigoles,90,4,1,1,1,19,10,27,19
Garriguella,351,44,4,10,10,75,21,121,35
Ger,274,23,6,3,3,59,7,115,32
Girona,37878,6193,902,2280,1292,6498,1628,12240,4039
Gombrèn,87,7,3,3,3,23,1,26,18
Gualta,188,17,2,3,5,35,7,86,20
Guils de Cerdanya,278,14,11,19,12,45,4,97,27
Hostalric,1545,280,35,78,51,377,87,410,134
Isòvol,157,19,1,6,3,31,8,54,12
Jafre,223,11,3,2,5,58,9,79,37
"Jonquera, la",818,184,35,104,53,176,19,127,53
Juià,165,10,3,6,1,40,1,57,39
Lladó,406,24,2,13,3,112,26,135,50
Llagostera,2979,378,48,131,72,695,98,1026,262
Llambilles,411,28,6,7,9,86,7,215,31
Llanars,256,12,3,2,6,63,2,121,30
Llançà,1813,297,31,85,48,517,56,510,131
Llers,564,69,8,19,12,145,24,190,45
Llívia,616,68,15,34,27,108,20,230,49
Lloret de Mar,9343,2555,316,1114,638,1559,493,1541,270
"Llosses, les",95,5,2,2,0,23,3,32,15
Madremanya,151,6,3,0,4,31,6,47,42
Maià de Montcal,191,21,3,7,3,53,6,58,22
Meranges,58,6,1,3,0,7,0,25,5
Masarac,131,14,0,6,2,21,1,71,8
Massanes,298,36,3,24,11,75,16,84,33
Maçanet de Cabrenys,386,40,1,8,3,126,8,141,28
Maçanet de la Selva,2143,421,54,187,100,472,123,513,166
Mieres,171,6,3,4,7,44,11,42,37
Mollet de Peralada,104,16,1,4,4,22,0,40,6
Molló,186,8,6,7,2,27,9,97,10
Montagut i Oix,430,15,0,10,7,89,9,177,84
Mont-ras,775,158,27,58,30,173,27,224,35
Navata,651,44,9,35,16,135,26,210,80
Ogassa,133,8,4,5,0,30,6,56,14
Olot,12408,1539,158,521,212,2810,396,4674,1171
Ordis,200,10,0,5,1,74,5,62,23
Osor,226,14,1,8,3,59,3,85,44
Palafrugell,6931,1429,131,456,263,1505,344,1888,474
Palamós,6491,1173,106,454,227,1620,223,1872,409
Palau de Santa Eulàlia,63,6,1,1,1,12,5,17,11
Palau-saverdera,481,46,14,41,19,127,13,164,19
Palau-sator,156,16,1,2,1,23,3,82,18
Palol de Revardit,254,11,1,5,1,47,0,138,27
Pals,1007,139,10,37,14,257,25,397,58
Pardines,84,2,0,1,0,19,1,41,14
Parlavà,253,15,2,1,3,70,0,108,43
Pau,226,21,2,12,6,51,6,72,33
Pedret i Marzà,97,6,5,9,7,25,0,22,11
"Pera, la",248,13,0,3,5,49,4,118,43
Peralada,919,92,17,65,33,205,24,334,70
"Planes d'Hostoles, les",870,63,10,15,9,137,24,492,63
Planoles,147,6,0,1,1,39,4,59,24
Pont de Molins,243,25,5,23,16,63,10,57,21
Pontós,140,10,1,7,2,30,18,46,11
Porqueres,2419,171,25,47,31,726,52,931,249
Portbou,530,151,11,39,20,109,18,81,30
"Preses, les",935,96,3,18,11,230,21,391,89
"Port de la Selva, el",469,56,8,12,15,92,12,184,45
Puigcerdà,2847,476,96,204,161,572,109,704,164
Quart,1816,243,45,122,53,387,69,611,159
Rabós,93,4,4,2,2,26,5,27,12
Regencós,150,14,2,3,5,36,7,62,8
Ribes de Freser,846,79,6,29,26,196,24,320,98
Riells i Viabrea,1637,279,24,127,70,483,78,369,105
Ripoll,4075,596,62,189,90,900,147,1375,302
Riudarenes,871,127,13,53,35,158,30,338,55
Riudaura,285,8,1,6,0,57,10,139,58
Riudellots de la Selva,1026,93,8,30,19,240,33,456,62
Riumors,111,4,4,4,1,26,5,37,15
Roses,5353,1206,215,817,332,977,182,1101,168
Rupià,153,13,0,0,0,36,8,54,34
Sales de Llierca,68,10,0,0,2,13,11,13,14
Salt,6984,1513,151,713,224,1369,283,1737,627
Sant Andreu Salou,97,18,0,1,0,11,2,46,15
Sant Climent Sescebes,246,22,3,49,6,61,8,60,21
Sant Feliu de Buixalleu,385,36,3,9,6,93,16,158,37
Sant Feliu de Guíxols,7362,1550,166,488,297,1627,379,2095,325
Sant Feliu de Pallerols,741,46,9,9,8,205,20,291,104
Sant Ferriol,91,9,0,6,0,13,8,31,13
Sant Gregori,2030,137,18,47,33,454,60,900,244
Sant Hilari Sacalm,2096,204,11,27,39,509,33,883,234
Sant Jaume de Llierca,377,38,3,9,3,102,7,149,45
Sant Jordi Desvalls,413,17,0,8,1,98,6,181,69
Sant Joan de les Abadesses,1627,163,11,45,12,407,36,651,154
Sant Joan de Mollet,267,21,0,9,6,58,13,99,40
Sant Julià de Ramis,1623,250,9,129,56,341,56,503,180
Vallfogona de Ripollès,133,2,1,0,2,51,2,50,18
Sant Llorenç de la Muga,130,10,1,2,0,35,9,48,14
Sant Martí de Llémena,298,24,1,11,1,71,10,101,50
Sant Martí Vell,133,10,3,4,1,33,6,39,32
Sant Miquel de Campmajor,109,3,0,1,2,25,4,41,26
Sant Miquel de Fluvià,266,57,11,52,12,39,11,49,19
Sant Mori,92,14,6,6,6,19,4,21,12
Sant Pau de Segúries,339,32,2,10,9,79,3,137,35
