town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Abella de la Conca,62,3,0,0,1,16,2,29,9
Àger,301,31,4,9,7,83,5,102,34
Agramunt,2053,203,47,92,44,602,43,755,97
"Alamús, els",364,34,2,24,5,108,13,112,25
Alàs i Cerc,167,31,4,2,5,37,4,52,18
"Albagés, l'",201,30,6,16,7,62,6,43,11
Albatàrrec,742,96,20,54,31,233,26,181,45
Albesa,625,54,24,9,9,227,13,191,62
"Albi, l'",413,38,14,12,12,123,12,152,28
Alcanó,131,11,1,1,0,45,7,48,10
Alcarràs,2512,321,73,163,73,773,61,638,154
Alcoletge,1192,198,24,73,55,308,51,281,67
Alfarràs,1071,234,43,58,39,230,24,331,51
Alfés,168,8,0,0,2,60,4,45,16
Algerri,212,15,7,5,6,73,4,74,19
Alguaire,1125,126,28,22,14,361,26,383,80
Alins,157,21,3,0,1,39,5,47,12
Almacelles,2094,361,102,128,86,544,105,476,112
Almatret,199,13,6,11,3,53,4,73,10
Almenar,1267,175,19,44,21,473,31,320,83
Alòs de Balaguer,62,6,1,0,2,19,4,24,2
Alpicat,2699,376,98,197,108,677,73,739,141
Alt Àneu,248,25,2,1,1,82,2,87,31
Naut Aran,725,179,43,113,55,106,26,95,33
Anglesola,569,15,12,27,17,194,16,223,21
Arbeca,971,112,25,17,10,306,27,324,91
"Pont de Bar, el",75,4,1,1,0,19,3,27,15
Arres,29,11,2,5,2,2,0,3,1
Arsèguel,44,2,0,1,0,20,1,9,6
Artesa de Lleida,751,65,10,22,12,255,15,230,69
Artesa de Segre,1332,101,25,39,17,453,19,448,105
"Sentiu de Sió, la",237,28,3,12,2,63,9,85,14
Aspa,122,34,7,8,5,21,0,31,13
"Avellanes i Santa Linya, les",201,17,2,7,1,74,3,57,19
Aitona,902,78,75,31,13,193,18,138,26
Baix Pallars,195,22,2,2,3,48,14,56,32
Balaguer,5349,866,172,260,177,1534,146,1392,340
Barbens,283,27,5,8,2,97,4,90,15
"Baronia de Rialb, la",140,8,1,1,1,34,2,31,4
"Vall de Boí, la",498,33,8,4,4,159,29,144,68
Bassella,130,10,6,3,2,23,3,38,13
Bausen,25,5,2,0,2,3,3,2,5
Belianes,271,30,15,7,5,73,2,73,43
Bellcaire d'Urgell,665,53,18,16,10,261,8,187,50
Bell-lloc d'Urgell,1006,118,21,33,26,305,18,295,49
Bellmunt d'Urgell,107,4,0,5,2,25,0,24,7
Bellpuig,1846,183,37,37,31,576,42,601,168
Bellver de Cerdanya,995,124,22,23,22,240,35,316,118
Bellvís,976,65,12,15,9,361,21,351,78
Benavent de Segrià,679,86,19,32,26,196,14,180,46
Biosca,94,9,3,2,4,12,3,45,4
Bovera,120,12,0,3,2,28,2,50,9
"Bòrdes, Es",109,21,4,14,7,19,10,12,10
"Borges Blanques, les",2432,203,31,83,44,791,46,884,201
Bossòst,464,166,23,91,34,47,16,36,11
Cabanabona,37,1,1,2,0,10,0,11,5
Cabó,47,3,0,6,0,13,0,18,2
Camarasa,430,26,8,17,9,158,11,137,40
Canejan,32,9,1,6,0,9,1,5,1
Castellar de la Ribera,74,4,2,0,0,17,0,29,10
Castelldans,398,31,16,15,12,97,17,111,38
Castellnou de Seana,297,18,7,9,5,79,3,110,14
Castelló de Farfanya,228,11,2,6,2,97,4,81,13
Castellserà,488,31,6,6,11,147,6,162,64
Cava,32,1,1,2,0,7,0,13,7
Cervera,3172,426,87,188,73,823,110,911,263
Cervià de les Garrigues,340,26,1,5,8,147,10,103,24
Ciutadilla,125,11,3,3,4,52,3,40,4
Clariana de Cardener,88,7,0,0,0,29,1,16,16
"Cogul, el",90,10,0,4,1,32,2,31,7
Coll de Nargó,274,31,2,5,5,73,5,75,42
Corbins,646,49,9,19,15,240,18,201,47
Cubells,185,5,5,5,2,65,0,73,4
"Espluga Calba, l'",173,19,5,2,1,57,2,46,22
Espot,197,19,4,3,2,71,3,52,6
Estaràs,100,7,4,7,1,22,3,43,6
Esterri d'Àneu,391,30,0,1,5,105,13,144,50
Esterri de Cardós,39,5,0,0,0,5,1,21,5
Estamariu,61,3,0,0,1,11,1,34,3
Farrera,58,3,0,0,0,14,3,15,20
"Floresta, la",96,5,4,3,2,21,1,37,11
Fondarella,381,46,5,23,13,79,4,134,21
Foradada,87,6,5,1,1,16,0,41,12
"Fuliola, la",472,42,13,9,5,157,2,176,38
Fulleda,60,4,3,1,3,33,0,8,3
Gavet de la Conca,142,13,1,0,2,42,1,51,21
Golmés,721,47,18,20,16,184,12,297,47
Gósol,131,14,0,2,2,42,4,44,15
"Granadella, la",361,15,4,11,3,119,5,132,43
"Granja d'Escarp, la",395,56,13,15,22,97,9,93,3
Granyanella,73,6,0,3,1,22,6,24,7
Granyena de Segarra,79,10,3,4,0,15,4,29,9
Granyena de les Garrigues,91,8,1,4,1,28,2,33,7
