town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Aiguamúrcia,404,64,5,16,12,106,25,99,51
Albinyana,849,218,33,103,64,159,44,99,31
"Albiol, l'",190,37,7,10,11,48,13,34,15
Alcanar,2941,328,72,168,69,1158,114,543,264
Alcover,1825,263,56,118,47,494,70,466,212
Aldover,358,45,2,15,2,154,19,72,18
"Aleixar, l'",412,27,12,19,12,122,10,130,57
Alfara de Carles,121,19,10,15,2,35,2,19,12
Alforja,800,117,12,27,23,216,38,184,109
Alió,202,22,3,11,3,51,10,67,20
Almoster,739,63,25,37,20,184,26,263,66
Altafulla,2478,512,86,187,121,548,169,501,173
"Ametlla de Mar, l'",2406,319,64,147,64,762,89,651,132
Amposta,6663,980,151,335,173,2384,295,1226,445
Arbolí,90,0,0,0,0,39,8,22,10
"Arboç, l'",1871,573,48,132,103,390,95,282,123
"Argentera, l'",98,7,3,0,0,36,2,36,8
Arnes,296,21,3,6,5,85,7,132,9
Ascó,702,100,28,24,31,256,19,140,46
Banyeres del Penedès,1199,310,33,111,85,253,62,203,71
Barberà de la Conca,208,15,5,12,2,50,10,55,27
Batea,895,304,42,72,14,229,19,135,37
Bellmunt del Priorat,151,20,0,1,0,54,4,25,25
Bellvei,754,168,28,104,51,166,45,90,45
Benifallet,376,112,11,12,4,122,19,55,19
Benissanet,502,47,11,20,6,166,8,156,52
"Bisbal de Falset, la",128,8,0,5,0,38,3,60,3
"Bisbal del Penedès, la",1177,244,20,104,45,260,59,227,81
Blancafort,219,12,2,0,2,112,13,37,23
Bonastre,298,40,6,21,10,89,24,72,14
"Borges del Camp, les",904,67,14,48,22,252,26,356,76
Bot,324,54,9,18,5,89,10,91,22
Botarell,487,66,9,34,8,185,22,97,41
Bràfim,303,38,4,13,11,108,6,78,24
Cabacés,164,18,4,3,3,60,2,35,13
Cabra del Camp,380,58,12,41,18,81,11,97,35
Calafell,8377,2124,360,1025,564,1728,538,1185,338
Cambrils,11263,2438,606,1458,919,2094,603,1974,510
Capafonts,70,5,1,0,2,19,0,20,20
Capçanes,250,12,3,4,2,81,12,65,59
Caseres,110,13,8,11,2,48,1,16,5
Castellvell del Camp,1411,162,49,113,60,374,67,382,107
"Catllar, el",1976,394,89,196,127,449,118,347,157
"Sénia, la",2001,401,115,213,106,542,125,224,132
Colldejou,101,4,0,1,0,32,3,53,5
Conesa,61,5,0,1,1,24,3,14,5
Constantí,1785,529,100,242,106,354,66,230,56
Corbera d'Ebre,454,53,34,14,8,140,40,67,38
Cornudella de Montsant,504,39,5,9,8,174,20,143,61
Creixell,1243,302,51,166,65,278,76,198,41
Cunit,4253,1297,191,559,368,770,309,368,115
Xerta,521,61,4,24,8,193,11,119,43
Duesaigües,125,15,2,1,2,39,7,33,13
"Espluga de Francolí, l'",1522,136,13,28,20,514,27,478,188
Falset,1361,175,20,30,23,452,35,374,168
"Fatarella, la",507,31,22,11,9,197,6,113,69
"Febró, la",28,2,0,1,0,8,0,12,2
"Figuera, la",77,10,2,1,2,25,3,17,10
Figuerola del Camp,160,12,1,1,1,42,5,67,19
Flix,1654,197,36,32,37,574,63,425,200
Forès,25,1,0,2,1,1,0,8,0
Freginals,181,34,13,10,7,33,11,41,11
"Galera, la",267,44,11,33,1,67,14,29,22
Gandesa,1245,117,54,46,24,370,39,263,99
Garcia,255,23,4,8,7,76,3,92,24
"Garidells, els",108,13,3,4,0,53,3,21,9
Ginestar,388,31,1,7,1,160,12,108,34
Godall,238,51,18,33,10,70,11,20,13
Gratallops,139,15,5,4,5,52,6,31,10
"Guiamets, els",177,19,5,2,5,57,4,31,48
Horta de Sant Joan,487,63,27,15,8,120,16,142,62
"Lloar, el",69,10,3,5,1,26,0,12,7
Llorac,56,2,1,1,0,14,2,22,3
Llorenç del Penedès,1075,129,13,51,26,320,29,281,120
Margalef,55,5,0,2,0,15,1,21,4
Marçà,315,36,1,7,4,99,3,99,52
Mas de Barberans,229,86,13,22,7,62,6,14,8
Masdenverge,480,75,20,18,8,124,11,150,30
Masllorenç,256,35,1,15,5,73,9,78,22
"Masó, la",167,16,6,6,3,40,8,57,18
Maspujols,419,47,4,19,7,142,10,102,55
"Masroig, el",246,23,8,13,0,62,3,82,33
"Milà, el",91,12,9,11,6,19,3,20,5
Miravet,341,37,0,5,6,142,10,81,28
"Molar, el",165,13,2,6,4,59,5,46,13
Montblanc,2873,391,21,107,45,815,106,860,261
Montbrió del Camp,1107,110,27,75,27,374,37,294,89
Montferri,145,31,1,9,1,33,8,34,21
"Montmell, el",425,104,9,67,20,82,30,60,24
Mont-ral,76,6,1,0,0,24,13,14,17
Mont-roig del Camp,3538,732,180,491,276,752,143,605,150
Móra d'Ebre,1998,321,49,85,57,567,78,551,149
Móra la Nova,1176,150,29,53,29,385,33,324,75
"Morell, el",1406,246,44,125,90,355,57,282,109
"Morera de Montsant, la",72,3,0,0,1,25,4,21,9
"Nou de Gaià, la",289,37,7,14,4,86,21,66,30
Nulles,239,9,8,16,9,57,8,86,29
"Palma d'Ebre, la",194,23,0,2,2,56,1,81,8
"Pallaresos, els",1960,453,75,216,130,453,121,288,107
Passanant i Belltall,93,7,2,2,0,15,3,38,17
Paüls,255,47,4,8,0,119,4,41,10
Perafort,513,77,23,55,34,136,22,86,27
"Perelló, el",1058,123,5,22,9,374,30,283,114
"Piles, les",116,8,2,2,1,28,6,39,15
"Pinell de Brai, el",446,58,5,24,4,153,48,94,29
Pira,230,19,2,4,5,99,15,41,21
"Pla de Santa Maria, el",967,96,20,70,30,220,28,331,103
"Pobla de Mafumet, la",1186,248,45,249,87,231,70,108,47
"Pobla de Massaluca, la",148,24,5,4,1,54,5,39,6
"Pobla de Montornès, la",974,201,41,102,68,274,57,139,39
Poboleda,176,13,2,0,1,41,4,64,36
"Pont d'Armentera, el",235,20,7,17,4,54,4,94,19
Porrera,269,21,1,2,2,99,14,62,55
Pradell de la Teixeta,97,7,1,2,0,20,1,32,9
Prades,319,26,3,5,1,110,13,110,31
Prat de Comte,99,6,6,0,4,24,2,35,6
Pratdip,283,28,4,10,14,75,8,82,19
Puigpelat,456,86,14,23,20,122,10,86,45
Querol,215,38,4,33,12,34,12,43,17
Rasquera,347,27,1,6,0,146,4,101,31
Renau,78,10,2,1,3,18,7,18,11
Reus,33501,6854,1476,3346,1906,6946,1482,6584,2451
"Riba, la",264,35,12,12,7,75,7,71,23
Riba-roja d'Ebre,532,125,37,16,15,153,16,74,42
"Riera de Gaià, la",729,103,16,40,20,206,44,188,62
Riudecanyes,516,35,13,20,20,170,16,153,53
Riudecols,501,100,4,14,6,168,20,103,49
Riudoms,2555,284,52,150,69,702,57,825,212
Rocafort de Queralt,123,6,4,3,4,49,2,39,10
Roda de Berà,2210,601,121,342,161,427,126,248,64
Rodonyà,245,17,2,16,6,64,7,68,24
Roquetes,2580,363,57,154,63,856,151,506,214
"Rourell, el",179,26,4,16,9,39,4,39,16
Salomó,224,18,4,4,9,58,5,88,23
Sant Carles de la Ràpita,4994,667,88,234,106,1632,238,1150,386
Sant Jaume dels Domenys,1003,177,23,91,44,245,28,234,93
Santa Bàrbara,1173,171,60,103,32,310,34,230,69
Santa Coloma de Queralt,1161,80,24,33,12,344,22,413,127
Santa Oliva,1153,317,46,167,81,229,42,171,51
Pontils,72,13,2,2,0,17,5,17,5
Sarral,599,47,12,22,8,184,13,204,43
Savallà del Comtat,36,4,0,0,1,11,2,12,1
"Secuita, la",742,117,21,72,26,181,27,185,72
"Selva del Camp, la",2578,445,48,126,88,615,104,634,334
Senan,30,2,0,1,0,11,2,7,6
Solivella,375,12,16,7,2,114,8,146,32
Tarragona,47710,11520,3636,5662,3339,8899,2751,6721,2630
Tivenys,423,108,5,27,9,141,11,69,23
Tivissa,834,52,35,28,9,258,49,210,97
"Torre de Fontaubella, la",83,9,6,4,0,13,3,28,18
"Torre de l'Espanyol, la",293,50,1,3,2,107,0,81,17
Torredembarra,5459,1124,190,527,347,1331,295,982,340
Torroja del Priorat,99,5,2,2,1,46,4,17,19
Tortosa,11041,1834,306,625,379,2995,724,2126,759
Ulldecona,1994,375,115,167,64,547,85,370,130
Ulldemolins,270,19,7,3,3,93,4,105,22
Vallclara,53,4,1,0,0,8,1,24,7
Vallfogona de Riucorb,59,5,1,2,1,14,1,26,3
Vallmoll,759,172,17,71,37,175,26,172,52
Valls,8604,1291,204,433,281,2141,263,2576,936
Vandellòs i l'Hospitalet de l'Infant,2485,553,110,255,187,544,120,443,116
"Vendrell, el",11628,2892,492,1265,704,2532,680,1758,563
Vespella de Gaià,180,59,6,20,7,38,17,18,7
Vilabella,399,29,6,4,9,132,19,119,44
Vilallonga del Camp,850,161,31,72,25,238,47,152,59
Vilanova d'Escornalbou,282,16,6,11,1,95,9,81,28
Vilanova de Prades,53,4,0,1,0,20,2,15,6
Vilaplana,355,31,0,8,3,125,15,104,52
Vila-rodona,574,87,10,18,7,171,17,160,58
Vila-seca,7436,2102,382,1412,742,1032,437,582,229
Vilaverd,177,20,1,5,2,66,5,42,13
"Vilella Alta, la",69,1,1,0,0,21,0,19,22
"Vilella Baixa, la",118,7,1,1,3,36,6,29,29
Vilalba dels Arcs,318,44,21,13,15,85,1,76,29
Vimbodí i Poblet,472,44,10,14,11,164,18,141,36
Vinebre,219,23,4,17,5,70,3,53,27
Vinyols i els Arcs,883,150,36,55,37,260,30,205,52
